--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
.\data\test\stack_0084_0.png	623                      	0.5904
.\data\test\stack_0084_1.png	emox                     	0.0857
.\data\test\stack_0084_2.png	12                       	0.9057
.\data\test\stack_0084_3.png	bns                      	0.2725
.\data\test\stack_0084_4.png	is                       	0.9124
.\data\test\stack_0084_5.png	of                       	0.2710
.\data\test\stack_0084_6.png	30                       	0.3147
.\data\test\stack_0084_7.png	2ds                      	0.9870
.\data\test\stack_0085_0.png	16623                    	0.3818
.\data\test\stack_0085_1.png	623                      	0.7363
.\data\test\stack_0085_2.png	bnse                     	0.1230
.\data\test\stack_0085_3.png	657                      	0.2011
.\data\test\stack_0085_4.png	21                       	0.3702
.\data\test\stack_0085_5.png	golso                    	0.5330
.\data\test\stack_0085_6.png	am                       	0.2169
.\data\test\stack_0085_7.png	gizps                    	0.0998
.\data\test\stack_0086_0.png	16623                    	0.0899
.\data\test\stack_0086_1.png	emox                     	0.0644
.\data\test\stack_0086_2.png	612k                     	0.2078
.\data\test\stack_0086_3.png	bnsc                     	0.5825
.\data\test\stack_0086_4.png	657                      	0.0951
.\data\test\stack_0086_5.png	21                       	0.2766
.\data\test\stack_0086_6.png	bolso                    	0.1861
.\data\test\stack_0086_7.png	2ds                      	0.9843
.\data\test\stack_0087_0.png	46023                    	0.0692
.\data\test\stack_0087_1.png	623                      	0.9058
.\data\test\stack_0087_2.png	gizk                     	0.2869
.\data\test\stack_0087_3.png	bnse                     	0.2666
.\data\test\stack_0087_4.png	so                       	0.6328
.\data\test\stack_0087_5.png	21                       	0.1954
.\data\test\stack_0087_6.png	golso                    	0.3206
.\data\test\stack_0087_7.png	2d                       	0.9092
.\data\test\stack_0087_8.png	am                       	0.2523
.\data\test\stack_0088_0.png	623                      	0.8954
.\data\test\stack_0088_1.png	emox                     	0.0819
.\data\test\stack_0088_2.png	gizk                     	0.1706
.\data\test\stack_0088_3.png	bnsc                     	0.2393
.\data\test\stack_0088_4.png	21                       	0.4397
.\data\test\stack_0088_5.png	golso                    	0.5087
.\data\test\stack_0088_6.png	so                       	0.7785
.\data\test\stack_0089_0.png	us                       	0.1187
.\data\test\stack_0089_1.png	623                      	0.4209
.\data\test\stack_0089_2.png	hmgx                     	0.0270
.\data\test\stack_0089_3.png	gizz                     	0.3324
.\data\test\stack_0089_4.png	bnst                     	0.3112
.\data\test\stack_0089_5.png	so                       	0.6086
.\data\test\stack_0089_6.png	21                       	0.2600
.\data\test\stack_0089_7.png	bolso                    	0.0983
.\data\test\stack_0090_0.png	2ds55                    	0.6953
.\data\test\stack_0090_1.png	bnsf                     	0.9704
.\data\test\stack_0090_2.png	ads5                     	0.1209
.\data\test\stack_0090_3.png	hoak                     	0.9319
.\data\test\stack_0091_0.png	he                       	0.1347
.\data\test\stack_0091_1.png	2ds55                    	0.8856
.\data\test\stack_0091_2.png	bnsf                     	0.9507
.\data\test\stack_0091_3.png	hoak                     	0.9633
.\data\test\stack_0092_0.png	ho                       	0.1130
.\data\test\stack_0092_1.png	2ds55                    	0.9037
.\data\test\stack_0092_2.png	bnsf                     	0.9644
.\data\test\stack_0092_3.png	hoak                     	0.9848
.\data\test\stack_0093_0.png	4g                       	0.2047
.\data\test\stack_0093_1.png	2ds55                    	0.8893
.\data\test\stack_0093_2.png	bnsf                     	0.9729
.\data\test\stack_0093_3.png	ads5                     	0.1175
.\data\test\stack_0093_4.png	hoak                     	0.9011
.\data\test\stack_0094_0.png	2ds55                    	0.9176
.\data\test\stack_0094_1.png	bnsf                     	0.9939
.\data\test\stack_0094_2.png	ds                       	0.9792
.\data\test\stack_0094_3.png	ho                       	0.1853
.\data\test\stack_0094_4.png	hoak                     	0.9627
.\data\test\stack_0095_0.png	ho                       	0.3420
.\data\test\stack_0095_1.png	2ds55                    	0.8621
.\data\test\stack_0095_2.png	bnsf                     	0.9364
.\data\test\stack_0095_3.png	hoak                     	0.9458
.\data\test\stack_0096_0.png	40                       	0.4950
.\data\test\stack_0096_1.png	2ds55                    	0.9682
.\data\test\stack_0096_2.png	bnselloak                	0.0250
.\data\test\stack_0097_0.png	the                      	0.8049
.\data\test\stack_0097_1.png	2ds55                    	0.9515
.\data\test\stack_0097_2.png	bnsf                     	0.9880
.\data\test\stack_0097_3.png	124                      	0.5518
.\data\test\stack_0097_4.png	hoak                     	0.9311
.\data\test\stack_0098_0.png	612                      	0.9906
.\data\test\stack_0098_1.png	2ds55                    	0.9654
.\data\test\stack_0098_2.png	bnsi                     	0.5083
.\data\test\stack_0098_3.png	122                      	0.9774
.\data\test\stack_0098_4.png	to                       	0.1078
.\data\test\stack_0098_5.png	hoak                     	0.6856
.\data\test\stack_0099_0.png	2ds55                    	0.9557
.\data\test\stack_0099_1.png	bnsehoak                 	0.1750
.\data\test\stack_0099_2.png	1222                     	0.9567
.\data\test\stack_0099_3.png	to                       	0.3163
.\data\test\stack_0099_4.png	gizp                     	0.2805
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
.\data\test\stack_0072_0.png	4pp                      	0.7609
.\data\test\stack_0072_1.png	2ds52                    	0.9996
.\data\test\stack_0072_2.png	2ds                      	1.0000
.\data\test\stack_0073_0.png	ol                       	0.9684
.\data\test\stack_0073_1.png	2ds52                    	0.9996
.\data\test\stack_0074_0.png	olsedsed                 	0.0132
.\data\test\stack_0074_1.png	2ds                      	0.9999
.\data\test\stack_0075_0.png	2ds52                    	0.9997
.\data\test\stack_0075_1.png	2ds                      	1.0000
.\data\test\stack_0076_0.png	2ds52                    	0.9992
.\data\test\stack_0076_1.png	424                      	0.0672
.\data\test\stack_0076_2.png	4m64                     	0.6376
.\data\test\stack_0076_3.png	2ds                      	0.9991
.\data\test\stack_0077_0.png	2ds52                    	0.9958
.\data\test\stack_0077_1.png	012                      	0.9278
.\data\test\stack_0077_2.png	4m615                    	0.4757
.\data\test\stack_0078_0.png	2ds52                    	0.9989
.\data\test\stack_0078_1.png	101                      	0.7754
.\data\test\stack_0078_2.png	623                      	0.9995
.\data\test\stack_0078_3.png	4mo                      	0.7661
.\data\test\stack_0078_4.png	2d                       	0.9998
.\data\test\stack_0079_0.png	15                       	0.3721
.\data\test\stack_0079_1.png	2ds52                    	0.9993
.\data\test\stack_0079_2.png	23                       	1.0000
.\data\test\stack_0079_3.png	2ds                      	1.0000
.\data\test\stack_0079_4.png	have                     	0.5084
.\data\test\stack_0079_5.png	4m62                     	0.4020
.\data\test\stack_0080_0.png	623                      	0.9985
.\data\test\stack_0080_1.png	1023                     	0.8163
.\data\test\stack_0080_2.png	4mo2d                    	0.2201
.\data\test\stack_0080_3.png	612pc                    	0.9979
.\data\test\stack_0080_4.png	bnsf                     	0.8796
.\data\test\stack_0080_5.png	2s2                      	0.1268
.\data\test\stack_0080_6.png	22                       	0.3619
.\data\test\stack_0080_7.png	30                       	0.4769
.\data\test\stack_0080_8.png	2d                       	1.0000
.\data\test\stack_0080_9.png	612pc                    	0.9972
.\data\test\stack_0081_0.png	623                      	0.9981
.\data\test\stack_0081_1.png	amo2d                    	0.2525
.\data\test\stack_0081_2.png	612p                     	0.9806
.\data\test\stack_0081_3.png	bnst                     	0.5944
.\data\test\stack_0081_4.png	252                      	0.2844
.\data\test\stack_0081_5.png	21                       	0.6339
.\data\test\stack_0081_6.png	30                       	0.8193
.\data\test\stack_0081_7.png	2ds                      	0.6328
.\data\test\stack_0082_0.png	623                      	0.9996
.\data\test\stack_0082_1.png	emo2d                    	0.0409
.\data\test\stack_0082_2.png	bns                      	0.9990
.\data\test\stack_0082_3.png	bolcn                    	0.0971
.\data\test\stack_0082_4.png	2d                       	0.9999
.\data\test\stack_0082_5.png	612pc                    	0.8572
.\data\test\stack_0082_6.png	1s2                      	0.3850
.\data\test\stack_0083_0.png	623                      	0.9716
.\data\test\stack_0083_1.png	amo2d                    	0.0813
.\data\test\stack_0083_2.png	612pc                    	0.6980
.\data\test\stack_0083_3.png	bnsp                     	0.4955
.\data\test\stack_0083_4.png	258                      	0.4343
.\data\test\stack_0083_5.png	22                       	0.5441
.\data\test\stack_0083_6.png	80                       	0.8950
.\data\test\stack_0083_7.png	2ds                      	0.9999
.\data\test\stack_0083_8.png	col                      	0.7404
.\data\test\stack_0084_0.png	623                      	0.9996
.\data\test\stack_0084_1.png	amood                    	0.0931
.\data\test\stack_0084_2.png	12                       	0.9564
.\data\test\stack_0084_3.png	bns                      	0.9988
.\data\test\stack_0084_4.png	us                       	0.2817
.\data\test\stack_0084_5.png	21                       	0.4545
.\data\test\stack_0084_6.png	8c                       	0.5472
.\data\test\stack_0084_7.png	2ds                      	1.0000
.\data\test\stack_0085_0.png	4m623                    	0.6047
.\data\test\stack_0085_1.png	623                      	0.3761
.\data\test\stack_0085_2.png	bnse                     	0.6163
.\data\test\stack_0085_3.png	1s2                      	0.5545
.\data\test\stack_0085_4.png	21                       	0.7428
.\data\test\stack_0085_5.png	bolgo                    	0.3279
.\data\test\stack_0085_6.png	anv                      	0.3984
.\data\test\stack_0085_7.png	612pc                    	0.9984
.\data\test\stack_0086_0.png	44623                    	0.3153
.\data\test\stack_0086_1.png	amo2e                    	0.2109
.\data\test\stack_0086_2.png	612pc                    	0.9979
.\data\test\stack_0086_3.png	bnsp                     	0.4608
.\data\test\stack_0086_4.png	ls2                      	0.5075
.\data\test\stack_0086_5.png	21                       	0.9398
.\data\test\stack_0086_6.png	8olco                    	0.1880
.\data\test\stack_0086_7.png	2ds                      	0.9999
.\data\test\stack_0087_0.png	4m623                    	0.5710
.\data\test\stack_0087_1.png	623                      	0.9903
.\data\test\stack_0087_2.png	612pc                    	0.9998
.\data\test\stack_0087_3.png	bnsp                     	0.9285
.\data\test\stack_0087_4.png	s7                       	0.3431
.\data\test\stack_0087_5.png	21                       	0.8625
.\data\test\stack_0087_6.png	bolco                    	0.2044
.\data\test\stack_0087_7.png	2d                       	1.0000
.\data\test\stack_0087_8.png	jam                      	0.6234
.\data\test\stack_0088_0.png	623                      	0.9996
.\data\test\stack_0088_1.png	4mz2                     	0.2312
.\data\test\stack_0088_2.png	612pc                    	0.9934
.\data\test\stack_0088_3.png	bnsp                     	0.4708
.\data\test\stack_0088_4.png	21                       	0.3919
.\data\test\stack_0088_5.png	bolso                    	0.3262
.\data\test\stack_0088_6.png	s2                       	0.5917
.\data\test\stack_0089_0.png	4                        	0.9846
.\data\test\stack_0089_1.png	623                      	0.9797
.\data\test\stack_0089_2.png	amo2d                    	0.1300
.\data\test\stack_0089_3.png	612pc                    	0.9990
.\data\test\stack_0089_4.png	bnsf                     	0.4142
.\data\test\stack_0089_5.png	s2                       	0.3172
.\data\test\stack_0089_6.png	22                       	0.7818
.\data\test\stack_0089_7.png	3olso                    	0.1723
.\data\test\stack_0090_0.png	2ds55                    	0.9997
.\data\test\stack_0090_1.png	bnsf                     	1.0000
.\data\test\stack_0090_2.png	2ds5                     	0.9940
.\data\test\stack_0090_3.png	4oak                     	0.9998
.\data\test\stack_0091_0.png	40                       	0.4907
.\data\test\stack_0091_1.png	2ds55                    	0.9996
.\data\test\stack_0091_2.png	bnsf                     	0.9999
.\data\test\stack_0091_3.png	4oak                     	0.9998
.\data\test\stack_0092_0.png	40                       	0.6191
.\data\test\stack_0092_1.png	2ds55                    	0.9995
.\data\test\stack_0092_2.png	bnsf                     	1.0000
.\data\test\stack_0092_3.png	4oak                     	0.9885
.\data\test\stack_0093_0.png	146                      	0.7112
.\data\test\stack_0093_1.png	2ds55                    	0.9994
.\data\test\stack_0093_2.png	bnsf                     	1.0000
.\data\test\stack_0093_3.png	2ds5                     	0.9989
.\data\test\stack_0093_4.png	4oak                     	0.9997
.\data\test\stack_0094_0.png	2ds55                    	0.9991
.\data\test\stack_0094_1.png	bnsf                     	1.0000
.\data\test\stack_0094_2.png	ds                       	0.9935
.\data\test\stack_0094_3.png	10                       	0.9531
.\data\test\stack_0094_4.png	4oak                     	0.9994
.\data\test\stack_0095_0.png	46                       	0.7198
.\data\test\stack_0095_1.png	2ds55                    	0.9994
.\data\test\stack_0095_2.png	bnsf                     	1.0000
.\data\test\stack_0095_3.png	4oak                     	0.9999
.\data\test\stack_0096_0.png	46                       	0.3711
.\data\test\stack_0096_1.png	2ds55                    	0.9996
.\data\test\stack_0096_2.png	bnsf4oak                 	0.9999
.\data\test\stack_0097_0.png	246                      	0.1876
.\data\test\stack_0097_1.png	2ds55                    	0.9997
.\data\test\stack_0097_2.png	bnsf                     	1.0000
.\data\test\stack_0097_3.png	12                       	0.9999
.\data\test\stack_0097_4.png	4oak                     	0.9972
.\data\test\stack_0098_0.png	612                      	1.0000
.\data\test\stack_0098_1.png	2ds55                    	0.9997
.\data\test\stack_0098_2.png	bnsf                     	1.0000
.\data\test\stack_0098_3.png	122                      	0.9999
.\data\test\stack_0098_4.png	16                       	0.2746
.\data\test\stack_0098_5.png	4oak                     	0.9875
.\data\test\stack_0099_0.png	2ds55                    	0.9996
.\data\test\stack_0099_1.png	bnsf4oak                 	1.0000
.\data\test\stack_0099_2.png	1222                     	0.9999
.\data\test\stack_0099_3.png	40                       	0.8443
.\data\test\stack_0099_4.png	612pc                    	0.9999
